ANNO_ACCADEMICO;COD_ATENEO;NOME_ATENEO;CODICE_INTERVENTO;DESCRIZIONE_INTERVENTO;INTERVENTI_LAUREA;INTERVENTI_LAUREA_EXTRA_UE;INTERVENTI_DOTTORATO;INTERVENTI_SPECIALIZZAZIONE;INTERVENTI_MASTER_PERFEZIONAMENTO
2008-2009;00101;Torino - Università degli studi;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;0;0;0;0;0
2008-2009;00101;Torino - Università degli studi;061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);736;10;336;0;0
2008-2009;00101;Torino - Università degli studi;061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;0;0;0;0;0
2008-2009;00101;Torino - Università degli studi;061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;0;0;0;0;0
2008-2009;00101;Torino - Università degli studi;061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;324;;
2008-2009;00101;Torino - Università degli studi;063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);506;0;0;0;0
2008-2009;00101;Torino - Università degli studi;064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;48;0;0;0;0
2008-2009;00101;Torino - Università degli studi;073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;N;0;0;0;0
2008-2009;00101;Torino - Università degli studi;074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;184;0;0;N;0
2008-2009;00101;Torino - Università degli studi;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;297;24;0;0;0
2008-2009;00101;Torino - Università degli studi;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2008-2009;00101;Torino - Università degli studi;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2008-2009;00101;Torino - Università degli studi;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2008-2009;00101;Torino - Università degli studi;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2008-2009;00101;Torino - Università degli studi;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;95;5;0;0;0
2008-2009;00101;Torino - Università degli studi;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;157;3;0;0;0
2008-2009;00101;Torino - Università degli studi;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;505;0;0
2008-2009;00101;Torino - Università degli studi;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2008-2009;00101;Torino - Università degli studi;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;209;0;0
2008-2009;00101;Torino - Università degli studi;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;17;0;0
2008-2009;00101;Torino - Università degli studi;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;4;0;0
2008-2009;00101;Torino - Università degli studi;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;25;0;0
2008-2009;00101;Torino - Università degli studi;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;115;0;0
2008-2009;00102;Torino - Politecnico;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;1239;1157;417;0;3
2008-2009;00102;Torino - Politecnico;061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);542;30;470;0;0
2008-2009;00102;Torino - Politecnico;061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;0;0;0;0;0
2008-2009;00102;Torino - Politecnico;061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;23;0;0;0;0
2008-2009;00102;Torino - Politecnico;061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;468;;
2008-2009;00102;Torino - Politecnico;063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);627;278;0;0;0
2008-2009;00102;Torino - Politecnico;064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;278;278;0;0;0
2008-2009;00102;Torino - Politecnico;073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;3;0;0;0;0
2008-2009;00102;Torino - Politecnico;074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;16;N;0;0;0
2008-2009;00102;Torino - Politecnico;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;870;50;8;0;0
2008-2009;00102;Torino - Politecnico;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;458;224;70;0;20
2008-2009;00102;Torino - Politecnico;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;397;224;50;0;10
2008-2009;00102;Torino - Politecnico;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;188;100;5;0;0
2008-2009;00102;Torino - Politecnico;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;188;100;5;0;0
2008-2009;00102;Torino - Politecnico;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;54;10;0;0;4
2008-2009;00102;Torino - Politecnico;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;303;16;0;0;0
2008-2009;00102;Torino - Politecnico;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;258;3;0
2008-2009;00102;Torino - Politecnico;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2008-2009;00102;Torino - Politecnico;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;26;0;12
2008-2009;00102;Torino - Politecnico;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;2;0;0
2008-2009;00102;Torino - Politecnico;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2008-2009;00102;Torino - Politecnico;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;25;0;16
2008-2009;00102;Torino - Politecnico;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;89;14;11
2008-2009;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;122;0;63;0;0
2008-2009;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);34;0;0;0;0
2008-2009;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;0;0;0;0;0
2008-2009;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;0;0;0;0;0
2008-2009;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;0;;
2008-2009;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);26;0;0;0;0
2008-2009;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;4;0;0;0;0
2008-2009;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;6;0;0;0;0
2008-2009;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;19;0;0;0;0
2008-2009;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;168;8;0;0;0
2008-2009;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2008-2009;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2008-2009;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
