ANNO_SOLARE;COD_ATENEO;NOME_ATENEO;CODICE_SPESA;DESCRIZIONE_SPESA;SPESA_TOTALE;SPESA_DI_CUI_REGIONALE
2008;00101;Torino - Università degli studi;S300  ;INTERVENTI A FAVORE DEGLI STUDENTI - TOTALE INTERVENTI;54922496;0
2008;00101;Torino - Università degli studi;S310  ;BORSE DI STUDIO - TOTALE BORSE;46842377;0
2008;00101;Torino - Università degli studi;3110  ;Dottorato di ricerca;13737860;
2008;00101;Torino - Università degli studi;3120  ;Scuole di specializzazione;119053;
2008;00101;Torino - Università degli studi;3130  ;Scuole di specializzazione mediche a norma UE;25858436;
2008;00101;Torino - Università degli studi;3140  ;Post dottorato;506008;
2008;00101;Torino - Università degli studi;3150  ;Perfezionamento all'estero;0;
2008;00101;Torino - Università degli studi;3160  ;Altre borse;6621020;0
2008;00101;Torino - Università degli studi;3161  ;Altre borse - di cui a studenti iscritti a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;517305;0
2008;00101;Torino - Università degli studi;3162  ;Altre borse - di cui a studenti iscritti a corsi di dottorato;14736;0
2008;00101;Torino - Università degli studi;3163  ;Altre borse - di cui a studenti iscritti a corsi di specializzazione;206303;0
2008;00101;Torino - Università degli studi;3164  ;Altre borse - di cui a studenti iscritti a corsi di perfezionamento e master;2835;0
2008;00101;Torino - Università degli studi;3165  ;Altre borse - di cui altre borse;5879841;0
2008;00101;Torino - Università degli studi;S320  ;ALTRI INTERVENTI - TOTALE ALTRI INTERVENTI;8080119;0
2008;00101;Torino - Università degli studi;3210  ;Attività part-time;1368442;0
2008;00101;Torino - Università degli studi;3220  ;Programmi di mobilità e scambi culturali studenti;2526017;0
2008;00101;Torino - Università degli studi;3221  ;Programmi di mobilità e scambi culturali studenti - di cui da cofinanziamento MIUR;504241;0
2008;00101;Torino - Università degli studi;3222  ;Programmi di mobilità e scambi culturali studenti - di cui spesa finanziata dall'Unione Europea o da altre istituzioni;1367814;0
2008;00101;Torino - Università degli studi;3223  ;Programmi di mobilità e scambi culturali studenti - di cui spesa per iscritti in istituti esteri coinvolti in scambi internazionali presso l'istituto;56412;0
2008;00101;Torino - Università degli studi;3230  ;Iniziative ed attività culturali gestite dagli studenti;76886;0
2008;00101;Torino - Università degli studi;3240  ;Altri interventi a favore degli studenti;4108774;0
2008;00101;Torino - Università degli studi;3241  ;Altri interventi a favore degli studenti - di cui contributi finanziari a favore di studenti in situazione di handicap;9959;0
2008;00101;Torino - Università degli studi;3242  ;Altri interventi a favore degli studenti - di cui contributi-alloggio;236200;0
2008;00101;Torino - Università degli studi;3243  ;Altri interventi a favore degli studenti - di cui mobilità dei dottorandi;153402;0
2008;00101;Torino - Università degli studi;3244  ;Altri interventi a favore degli studenti - di cui altri sussidi;3709213;0
2008;00101;Torino - Università degli studi;40    ;ALTRE SPESE PER IL DSU - TOTALE;43653;0
2008;00101;Torino - Università degli studi;41    ;ALTRE SPESE PER IL DSU - Spesa per gestione della mensa;0;0
2008;00101;Torino - Università degli studi;42    ;ALTRE SPESE PER IL DSU - Spesa per gestione degli alloggi;0;0
2008;00101;Torino - Università degli studi;43    ;ALTRE SPESE PER IL DSU - Spesa per trasporto studenti;0;0
2008;00101;Torino - Università degli studi;44    ;ALTRE SPESE PER IL DSU - Spesa per interventi a favore di studenti in situazione di handicap non ripartibile tra studenti;43653;0
2008;00101;Torino - Università degli studi;45    ;ALTRE SPESE PER IL DSU - Altre spese per il DSU non ripartibile tra studenti;0;0
2008;00101;Torino - Università degli studi;51    ;PRESTITI EROGATI DA ISTITUTI DI CREDITO CONVENZIONATI - Ammontare dei prestiti;288025;0
2008;00101;Torino - Università degli studi;52    ;PRESTITI EROGATI DA ISTITUTI DI CREDITO CONVENZIONATI - Fondo di garanzia;170909;0
