DATA;COD_Ateneo;NOME_ATENEO;CODICE_STRUTTURA;DESCRIZIONE_STRUTTURA;NUMERO_STRUTTURE;POSTI_DISPONIBILI
01/11/09;00101;Torino - Università degli studi;01 ;Mense;0;0
01/11/09;00101;Torino - Università degli studi;02 ;Residenze;0;0
01/11/09;00102;Torino - Politecnico;01 ;Mense;0;0
01/11/09;00102;Torino - Politecnico;02 ;Residenze;0;0
01/11/09;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";01 ;Mense;0;0
01/11/09;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";02 ;Residenze;0;0
01/11/09;00401;Bra (CN) - Università di Scienze Gastronomiche;01 ;Mense;0;0
01/11/09;00401;Bra (CN) - Università di Scienze Gastronomiche;02 ;Residenze;0;0
01/11/09;00701;Aosta - Università degli studi;01 ;Mense;0;0
01/11/09;00701;Aosta - Università degli studi;02 ;Residenze;0;0
01/11/09;01001;Genova - Università degli studi;01 ;Mense;0;0
01/11/09;01001;Genova - Università degli studi;02 ;Residenze;0;0
01/11/09;01201;"Castellanza - Università ""Carlo Cattaneo""";01 ;Mense;0;0
01/11/09;01201;"Castellanza - Università ""Carlo Cattaneo""";02 ;Residenze;0;0
01/11/09;01202;Varese - Università dell' Insubria;01 ;Mense;0;0
01/11/09;01202;Varese - Università dell' Insubria;02 ;Residenze;0;0
01/11/09;01301;"Novedrate (CO) - Università telematica ""e-Campus""";01 ;Mense;1;150
01/11/09;01301;"Novedrate (CO) - Università telematica ""e-Campus""";02 ;Residenze;1;260
01/11/09;01501;Milano - Università degli studi;01 ;Mense;0;0
01/11/09;01501;Milano - Università degli studi;02 ;Residenze;0;0
01/11/09;01502;Milano - Politecnico;01 ;Mense;0;0
01/11/09;01502;Milano - Politecnico;02 ;Residenze;18;1453
01/11/09;01503;"Milano - Università commerciale ""Luigi Bocconi""";01 ;Mense;0;0
01/11/09;01503;"Milano - Università commerciale ""Luigi Bocconi""";02 ;Residenze;0;0
01/11/09;01504;"Milano - Università Cattolica del ""Sacro Cuore""";01 ;Mense;0;0
01/11/09;01504;"Milano - Università Cattolica del ""Sacro Cuore""";02 ;Residenze;0;0
01/11/09;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);01 ;Mense;1;344
01/11/09;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);02 ;Residenze;1;14
01/11/09;01508;Milano - Università Vita-Salute San Raffaele;01 ;Mense;0;0
01/11/09;01508;Milano - Università Vita-Salute San Raffaele;02 ;Residenze;1;35
01/11/09;01509;Milano-Bicocca - Università degli studi;01 ;Mense;0;0
01/11/09;01509;Milano-Bicocca - Università degli studi;02 ;Residenze;0;0
01/11/09;01510;"Milano - Università telematica internazionale ""UNITEL""";01 ;Mense;0;0
01/11/09;01510;"Milano - Università telematica internazionale ""UNITEL""";02 ;Residenze;0;0
01/11/09;01601;Bergamo - Università degli studi;01 ;Mense;0;0
01/11/09;01601;Bergamo - Università degli studi;02 ;Residenze;0;0
01/11/09;01701;Brescia - Università degli studi;01 ;Mense;0;0
01/11/09;01701;Brescia - Università degli studi;02 ;Residenze;0;0
01/11/09;01801;Pavia - Università degli studi;01 ;Mense;0;0
01/11/09;01801;Pavia - Università degli studi;02 ;Residenze;0;0
01/11/09;01802;Pavia - Istituto universitario di studi superiori;01 ;Mense;0;0
01/11/09;01802;Pavia - Istituto universitario di studi superiori;02 ;Residenze;0;0
01/11/09;02101;Bolzano - Libera Università;01 ;Mense;0;0
01/11/09;02101;Bolzano - Libera Università;02 ;Residenze;0;0
01/11/09;02201;Trento - Università degli studi;01 ;Mense;0;0
01/11/09;02201;Trento - Università degli studi;02 ;Residenze;0;0
01/11/09;02301;Verona - Università degli studi;01 ;Mense;0;0
01/11/09;02301;Verona - Università degli studi;02 ;Residenze;0;0
01/11/09;02701;"Venezia - Università degli studi ""Cà Foscari""";01 ;Mense;0;0
01/11/09;02701;"Venezia - Università degli studi ""Cà Foscari""";02 ;Residenze;0;0
01/11/09;02702;Venezia - Università IUAV;01 ;Mense;0;0
01/11/09;02702;Venezia - Università IUAV;02 ;Residenze;0;0
01/11/09;02801;Padova - Università degli studi;01 ;Mense;0;0
01/11/09;02801;Padova - Università degli studi;02 ;Residenze;0;0
01/11/09;03001;Udine - Università degli studi;01 ;Mense;0;0
01/11/09;03001;Udine - Università degli studi;02 ;Residenze;0;0
01/11/09;03201;Trieste - Università degli studi;01 ;Mense;0;0
01/11/09;03201;Trieste - Università degli studi;02 ;Residenze;0;0
01/11/09;03202;Trieste - Scuola internazionale superiore di studi avanzati;01 ;Mense;0;0
