DENOMINAZIONE,RETTORE_DIRETTORE,INDIRIZZO,CAP,COMUNE,CIVICO,EMAIL,TELEFONO,FAX,iscritti_aa_2013_2014,iscritti_aa_2012_2013,iscritti_aa_2011_2012,iscritti_aa_2010_2011,iscritti_aa_2009_2010,borse_aa_2013_2014,borse_aa_2012_2013,borse_aa_2011_2012,borse_aa_2010_2011,borse_aa_2009_2010,coorY,coorX,location
UNIVERSITA' DEGLI STUDI DI BERGAMO,Stefano Paleari,Via Salvecchio,24100,Bergamo,19,rettore@unibg.it,035-2052242,035-243054,14786,14752,15855,15758,15221,1114,906,614,1069,1119,45.70435374,9.66039439,"(45.70435374, 9.66039439)"
UNIVERSITA' DEGLI STUDI DI PAVIA,Fabio Rugge,Strada Nuova,27100,Pavia,65,rettore@unipv.it,0382/984201-02,0382/984633,20968,21318,23287,23743,22137,1763,1654,1400,2181,2401,45.1871083,9.15592,"(45.1871083, 9.15592)"
UNIVERSITA' CATTOLICA DEL SACRO CUORE,Franco Anelli,Largo A. Gemelli,20123,Milano,1,rettore@unicatt.it,02-72342288,02-72342704,34982,35929,38378,38036,38404,2549,2278,1817,2101,2865,45.46307478,9.17689589,"(45.46307478, 9.17689589)"
UNIVERSITA' VITA-SALUTE SAN RAFFAELE,Alessandro Del Maschio,Via Olgettina,20132,Milano,58,rettore@unisr.it - rettorato@unisr.it,02.91751.530,0291971456,2162,2129,2284,2205,2020,63,68,61,71,107,45.50615214,9.26712054,"(45.50615214, 9.26712054)"
UNIVERSITA' POLITECNICO,Giovanni Azzone,P.zza Leonardo da Vinci,20133,Milano,32,rettore@polimi.it,02-23992250,02-23992106,38587,38260,40417,40057,37905,2909,2619,2464,2357,2409,45.47752362,9.22674572,"(45.47752362, 9.22674572)"
UNIVERSITA' CARLO CATTANEO L.I.U.C.,Valter Lazzari,Corso Matteotti,21053,Castellanza,22,rettorato@liuc.it,0331-572214,0331-483446,1717,1727,1885,1888,1715,56,66,54,53,65,45.61107433,8.90165389,"(45.61107433, 8.90165389)"
UNIVERSITA' DEGLI STUDI DI MILANO,Gianluca Vago,Via Festa del Perdono,20122,Milano,7,rettore@unimi.it,02.50312000,0250312508,62075,61078,64200,64544,58923,2160,1637,1463,1673,2122,45.46033785,9.19378944,"(45.46033785, 9.19378944)"
UNIVERSITA' DEGLI STUDI DI MILANO-BICOCCA,Maria Cristina Messa,P.zza dell'Ateneo Nuovo,20126,Milano,12,rettorato@unimib.it,02-64486011,02-64486005,31954,32936,34175,33619,30526,1032,838,732,873,1070,45.5191,9.21412519,"(45.5191, 9.21412519)"
UNIVERSITA' DEGLI STUDI DI BRESCIA,Sergio Pecorelli,Piazza Mercato,25121,Brescia,15,segr_ret@amm.unibs.it,030/2988201-2-3,030/2988329,14415,14620,14603,14759,14335,1118,1125,491,968,1462,45.53779835,10.21774235,"(45.53779835, 10.21774235)"
UNIVERSITA' COMMERCIALE L. BOCCONI,Andrea Sironi,Via Sarfatti,20136,Milano,25,rettore@unibocconi.it,02.58362199,0258362195,13516,13415,13540,13542,12739,946,898,539,826,1271,45.44837338,9.1903183,"(45.44837338, 9.1903183)"
