1862;0.6;;1912;0.9;;1962;5.1
1863;-2.9;;1913;0.2;;1963;7.5
1864;-2.7;;1914;0.0;;1964;5.9
1865;-1.7;;1915;7.0;;1965;4.3
1866;1.0;;1916;25.1;;1966;2.0
1867;2.5;;1917;41.4;;1967;2.0
1868;4.0;;1918;39.4;;1968;1.3
1869;0.6;;1919;1.5;;1969;2.8
1870;1.4;;1920;31.4;;1970;5.1
1871;3.1;;1921;18.3;;1971;5.0
1872;13.0;;1922;-0.6;;1972;5.6
1873;6.0;;1923;-0.6;;1973;10.4
1874;2.4;;1924;3.5;;1974;19.4
1875;-14.4;;1925;12.3;;1975;17.2
1876;5.8;;1926;7.9;;1976;16.5
1877;4.0;;1927;-8.6;;1977;18.1
1878;-3.7;;1928;-7.3;;1978;12.4
1879;-1.2;;1929;1.6;;1979;15.7
1880;3.7;;1930;-3.2;;1980;21.1
1881;-6.5;;1931;-9.7;;1981;18.7
1882;-2.4;;1932;-2.6;;1982;16.3
1883;-3.2;;1933;-5.9;;1983;15.0
1884;-1.9;;1934;-5.2;;1984;10.6
1885;2.2;;1935;1.4;;1985;8.6
1886;-0.1;;1936;7.6;;1986;6.1
1887;-0.2;;1937;9.5;;1987;4.6
1888;1.3;;1938;7.7;;1988;5.0
1889;1.7;;1939;4.4;;1989;6.6
1890;3.6;;1940;16.7;;1990;6.1
1891;-0.3;;1941;15.7;;1991;6.4
1892;-0.9;;1942;15.6;;1992;5.4
1893;-2.2;;1943;67.7;;1993;4.2
1894;-0.4;;1944;344.4;;1994;3.9
1895;-0.6;;1945;97.0;;1995;5.4
1896;-0.4;;1946;18.0;;1996;3.9
1897;-0.2;;1947;62.1;;1997;1.7
1898;0.7;;1948;5.9;;1998;1.8
1899;-1.6;;1949;1.5;;1999;1.6
1900;0.5;;1950;-1.3;;2000;2.6
1901;0.1;;1951;9.7;;2001;2.7
1902;-0.7;;1952;4.2;;2002;2.4
1903;3.0;;1953;1.9;;2003;2.5
1904;1.2;;1954;2.7;;2004;2.0
1905;0.1;;1955;2.8;;2005;1.7
1906;1.9;;1956;5.0;;2006;2.0
1907;4.7;;1957;1.9;;2007;1.7
1908;-1.0;;1958;4.8;;2008;3.2
1909;-2.8;;1959;-0.4;;2009;0.7
1910;2.8;;1960;2.7;;2010;1.6
1911;2.5;;1961;2.9;;;
