CET,Temperatura maxC,Temperatura mediaC,Temperatura minC,Punto di rugiadaC,MeanDew PointC,Min DewpointC,Max Umidità, Mean Umidità, Min Umidità, Max Pressione a livello del marehPa, Mean Pressione a livello del marehPa, Min Pressione a livello del marehPa, Max VisibilitàKm, Mean VisibilitàKm, Min VisibilitàkM, Max Velocità del ventoKm/h, Mean Velocità del ventoKm/h, Max Velocità RafficaKm/h,Precipitazionimm, CloudCover, Eventi,WindDirDegrees
2015-1-1,6,-1,-7,-2,-4,-8,100,83,48,1037,1034,1033,10,9,8,11,3,,0.00,,Nebbia,271
2015-1-2,8,1,-7,1,-3,-8,100,81,40,1036,1031,1027,19,10,8,11,5,,0.00,3,,310
2015-1-3,9,2,-4,2,-1,-5,100,85,48,1029,1024,1018,10,7,5,11,5,27,0.00,,Nebbia,37
2015-1-4,17,7,-3,5,-4,-14,100,51,7,1029,1022,1017,31,16,6,35,13,53,0.00,1,Nebbia,11
2015-1-5,12,3,-6,-3,-7,-10,80,52,16,1032,1028,1024,,,,19,8,,0.00,,,342
2015-1-6,8,1,-5,-1,-3,-7,100,72,36,1029,1024,1021,26,12,8,19,10,34,0.00,3,,22
2015-1-7,9,2,-4,2,1,-2,100,84,54,1033,1030,1028,19,8,5,13,5,,0.00,6,,360
2015-1-8,9,3,-3,2,1,-4,100,80,47,1035,1033,1031,19,8,6,11,6,,0.00,6,,315
2015-1-9,12,3,-6,2,-1,-5,100,80,35,1034,1030,1023,26,16,6,11,6,,0.00,,,344
2015-1-10,17,8,-1,6,2,-1,100,73,38,1024,1019,1017,26,14,5,11,6,,0.00,,Nebbia,303
2015-1-11,17,7,-3,7,-4,-12,100,58,7,1026,1017,1012,9,4,1,53,11,58,0.00,3,Nebbia,1
2015-1-12,14,4,-4,0,-6,-10,81,48,13,1030,1028,1026,31,31,31,13,6,,0.00,,,330
2015-1-13,7,2,-4,1,-1,-5,86,68,47,1030,1027,1024,31,13,10,16,6,,0.00,6,,354
2015-1-14,10,4,-2,3,1,-2,100,78,50,1024,1021,1018,19,9,5,10,3,,0.00,6,,133
2015-1-15,6,1,-4,5,2,-4,100,93,73,1023,1020,1019,19,6,1,13,5,34,0.76,7,Nebbia-Pioggia,27
2015-1-16,7,6,4,6,5,4,100,99,93,1020,1015,1011,8,3,1,13,6,,6.10,8,Nebbia-Pioggia,3
2015-1-17,8,6,2,8,6,2,100,97,81,1016,1012,1010,16,5,0,21,10,,2.03,7,Nebbia-Pioggia,321
2015-1-18,9,3,-3,4,2,-2,100,92,66,1019,1016,1014,18,11,10,13,6,,0.00,3,,351
2015-1-19,7,2,-4,3,1,-4,100,89,63,1016,1014,1012,26,13,10,11,6,,0.00,5,,328
2015-1-20,8,2,-3,2,0,-4,100,81,46,1014,1012,1010,26,13,10,11,6,,0.00,6,,350
2015-1-21,3,0,-4,3,1,-3,100,97,93,1013,1011,1010,26,8,4,16,10,35,13.97,8,Pioggia-Neve,2
2015-1-22,6,3,0,6,3,0,100,99,93,1014,1012,1011,26,8,2,19,11,,0.76,7,Nebbia-Pioggia-Neve,342
2015-1-23,14,6,-2,6,2,-2,100,85,44,1013,1010,1008,19,12,8,16,10,,0.00,,Nebbia,338
2015-1-24,12,3,-5,2,-2,-11,100,65,14,1015,1011,1008,10,9,8,32,8,52,0.00,5,Nebbia,330
2015-1-25,11,7,3,-8,-11,-15,42,23,9,1022,1017,1012,10,10,10,37,27,53,0.00,,,3
2015-1-26,9,1,-7,0,-6,-13,87,57,16,1026,1023,1020,31,15,10,16,8,,0.00,5,,338
2015-1-27,8,1,-7,-2,-4,-8,100,74,28,1022,1017,1015,31,26,10,13,6,,0.00,3,,346
